budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
160000000,DC Comics,USA,James Wan,Action,1148485886,Aquaman,R,1/01/19,143,6.9,Jason Momoa,348878,David Leslie Johnson-McGoldrick,2018,5.919,8.866,2.183
84000000,Bona Film Group,USA,Michael Gracey,Biography,435086403,The Greatest Showman,PG,25/12/17,105,7.6,Hugh Jackman,226510,Jenny Bicks,2017,0.6,15.466,2.058
90000000,Columbia Pictures,USA,Adil El Arbi,Action,424617855,Bad Boys for Life,R,20/02/20,124,6.6,Will Smith,111557,Peter Craig,2020,1.052,29.688,1.96
42000000,2.0 Entertainment,USA,Ruben Fleischer,Action,122810399,Zombieland - Double tap,R,14/11/19,99,6.7,Woody Harrelson,125294,Rhett Reese,2019,1.637,16.598,1.708
12000000,Pantelion Films,USA,Rob Greenberg,Comedy,91244913,Overboard,R,19/07/18,112,6,Eugenio Derbez,33083,Bob Fisher,2018,0.6,2.399,0.694
100000000,Media Rights Capital (MRC),USA,Christian Rivers,Action,83672673,Mortal Engines,R,13/12/18,128,6.1,Hera Hilmar,100004,Fran Walsh,2018,0.6,7.627,4.887
30000000,StudioCanal,USA,Jaume Collet-Serra,Action,119942387,The Commuter,R,25/01/18,104,6.3,Liam Neeson,99769,Byron Willinger,2018,2.293,20.541,0.6
100000000,Legend3D,USA,Ava DuVernay,Adventure,132675864,A Wrinkle in Time,PG,29/03/18,109,4.2,Storm Reid,39933,Jennifer Lee,2018,1.579,1.465,0.863
45000000,Columbia Pictures,USA,Dave Wilson,Action,30855391,Bloodshot,R,27/03/20,109,5.7,Vin Diesel,49627,Jeff Wadlow,2020,1.38,18.503,1.439
40000000,Summit Entertainment,USA,Benny Boom,Biography,55668698,All Eyez on Me,R,7/09/17,139,5.8,Demetrius Shipp Jr.,20641,Jeremy Haft,2017,0.6,0.6,0.694
175000000,Warner Bros.,USA,Steven Spielberg,Action,582893671,Ready Player One,R,28/03/18,140,7.5,Tye Sheridan,353913,Zak Penn,2018,8.787,3.293,1.62
5000000,Awesomeness Films,USA,Ry Russo-Young,Drama,16373843,Before I Fall,R,19/07/17,98,6.4,Zoey Deutch,44619,Maria Maggenti,2017,0.94,4.435,1.025
5000000,Redwire Pictures,USA,Dan Bush,Crime,346729,The Vault,NOT RATED,1/09/17,91,4.8,James Franco,11776,Dan Bush,2017,0.6,9.24,0.84
